track_id,title,artist,genre,release_year,duration, album_cover
95,Happy,Pharrell Williams,Pop,2013,15.5, https://upload.wikimedia.org/wikipedia/en/2/23/Pharrell_Williams_-_Happy.jpg
96,All About That Bass,Meghan Trainor,Pop,2014,12.8, https://cdn-images.dzcdn.net/images/cover/4cd0050ad6354f0ad78ed0aa820759d1/1900x1900-000000-80-0-0.jpg
97,Thinking Out Loud,Ed Sheeran,Pop,2014,18.8, https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd
98,See You Again,Wiz Khalifa ft. Charlie Puth,Pop,2015,15.3, https://i.scdn.co/image/ab67616d0000b2734e5df11b17b2727da2b718d8
99,Hello,Adele,Pop,2015,19.7, https://i.scdn.co/image/ab67616d0000b2737b9888dc365b8f957c63df14
100,Love Yourself,Justin Bieber,Pop,2015,15.6, https://i.scdn.co/image/ab67616d0000b273c34f510fcf86aae4aad9c305
101,God's Plan,Drake,Hip-Hop,2018,13.3, https://upload.wikimedia.org/wikipedia/en/9/90/Scorpion_by_Drake.jpg 
102,HUMBLE.,Kendrick Lamar,Hip-Hop,2017,11.8, https://upload.wikimedia.org/wikipedia/en/5/58/Humble_kendrick_lamar.jpg
103,N.Y. State of Mind,Nas,Hip-Hop,1994,19.6, https://upload.wikimedia.org/wikipedia/en/2/27/IllmaticNas.jpg
104,If I Ain't Got You,Alicia Keys,R&B,2003,15.2, https://upload.wikimedia.org/wikipedia/en/1/10/Alicia_Keys_-_If_I_Ain%27t_Got_You_%28single_cover%29.jpg
105,No Diggity,Blackstreet ft. Dr. Dre,R&B,1996,16.9, https://upload.wikimedia.org/wikipedia/en/b/bc/No_Diggity.jpg
106,Ordinary People,John Legend,R&B,2005,18.7, https://upload.wikimedia.org/wikipedia/en/8/84/Ordinary_People_single.jpg
107,La Bicicleta,Shakira & Carlos Vives,Latin,2016,15.1, https://upload.wikimedia.org/wikipedia/en/f/f5/Carlos_Vives_-_La_Bicicleta.jpeg
108,Bailando,Enrique Iglesias ft. Descemer Bueno & Gente de Zona,Latin,2014,16.1, https://upload.wikimedia.org/wikipedia/en/c/c0/Enriquebailandocover.jpg
109,Gasolina,Daddy Yankee,Latin,2004,12.9, https://upload.wikimedia.org/wikipedia/en/1/16/Daddy_Yankee_Gasolina_cover_art.png
110,Three Little Birds,Bob Marley,Reggae,1977,12.0, https://upload.wikimedia.org/wikipedia/en/8/8f/Bob_Marley_Three_Little_Birds.jpg
111,Is This Love,Bob Marley,Reggae,1978,15.5, https://upload.wikimedia.org/wikipedia/en/f/f8/Is_This_Love_%28Bob_Marley_%26_The_Wailers_single_-_cover_art%29.jpg
112,Could You Be Loved,Bob Marley & The Wailers,Reggae,1980,16.1, https://upload.wikimedia.org/wikipedia/en/9/9f/CouldYouBeLoved.jpg
